Country.of.Origin,n,n_excellent,excellence_rate,mean_score
Papua New Guinea,1,1,1.0,85.75
United States,7,6,0.8571428571428571,86.42857142857143
Panama,3,2,0.6666666666666666,84.69333333333333
Ethiopia,44,25,0.5681818181818182,85.48409090909091
Kenya,24,7,0.2916666666666667,84.28083333333333
Uganda,26,7,0.2692307692307692,84.05192307692307
Peru,10,2,0.2,82.526
El Salvador,21,3,0.14285714285714285,83.05285714285715
United States (Hawaii),73,10,0.136986301369863,81.82041095890412
Indonesia,15,2,0.13333333333333333,82.954
China,16,2,0.125,82.9275
Costa Rica,47,5,0.10638297872340426,82.83489361702127
Brazil,116,6,0.05172413793103448,82.36560344827586
Guatemala,174,9,0.05172413793103448,81.82557471264367
Nicaragua,22,1,0.045454545454545456,81.26136363636364
Colombia,180,7,0.03888888888888889,83.11016666666667
Taiwan,61,2,0.03278688524590164,82.14229508196722
Thailand,32,1,0.03125,82.57375
"Tanzania, United Republic Of",39,1,0.02564102564102564,82.34897435897436
Honduras,52,1,0.019230769230769232,80.88365384615385
Mexico,234,3,0.01282051282051282,80.8984188034188
Burundi,2,0,0.0,81.83
Laos,3,0,0.0,81.83333333333333
Ecuador,1,0,0.0,83.83
Cote d?Ivoire,1,0,0.0,79.33
Haiti,6,0,0.0,77.17999999999999
India,1,0,0.0,76.83
Mauritius,1,0,0.0,80.5
Malawi,11,0,0.0,81.71181818181819
Myanmar,2,0,0.0,80.875
Philippines,5,0,0.0,80.834
Rwanda,1,0,0.0,82.83
United States (Puerto Rico),4,0,0.0,81.72749999999999
Vietnam,4,0,0.0,82.48
Zambia,1,0,0.0,81.92
