Variety,n,n_excellent,excellence_rate,mean_score
Sumatra Lintong,1,1,1.0,85.17
Ethiopian Yirgacheffe,2,1,0.5,85.96000000000001
SL34,8,4,0.5,84.38374999999999
Sumatra,3,1,0.3333333333333333,83.91666666666667
SL14,17,5,0.29411764705882354,83.91235294117647
Pacamara,8,2,0.25,82.57375
SL28,15,3,0.2,84.006
Unknown,198,32,0.16161616161616163,82.67984848484849
Other,98,14,0.14285714285714285,82.75204081632653
Catimor,19,2,0.10526315789473684,83.4257894736842
Hawaiian Kona,44,4,0.09090909090909091,81.57886363636364
Gesha,12,1,0.08333333333333333,82.5825
Caturra,246,16,0.06504065040650407,82.88471544715446
Bourbon,216,12,0.05555555555555555,81.9348148148148
Mundo Novo,32,1,0.03125,81.46125
Catuai,71,2,0.028169014084507043,81.31718309859156
Typica,196,2,0.01020408163265306,80.98576530612245
Blue Mountain,2,0,0.0,82.08500000000001
Ethiopian Heirlooms,1,0,0.0,82.92
Arusha,5,0,0.0,82.25
Mandheling,2,0,0.0,82.4
Java,2,0,0.0,81.42
Ruiru 11,2,0,0.0,82.96000000000001
Pacas,13,0,0.0,80.91
Marigojipe,1,0,0.0,81.58
Peaberry,5,0,0.0,82.002
Pache Comun,1,0,0.0,81.08
Yellow Bourbon,20,0,0.0,82.2995
