model,threshold,precision,recall,f1,balanced_accuracy,roc_auc,auprc,auprc_ci_low,auprc_ci_high,f1_ci_low,f1_ci_high,roc_auc_ci_low,roc_auc_ci_high,oof_auprc,oof_roc_auc
LogReg (unpenalised),0.7458888598903863,0.42105263157894735,0.38095238095238093,0.4,0.6662471155863225,0.7420809733585064,0.3270295357708564,0.15693788221065783,0.530855741196484,0.1935483870967742,0.5789898132427843,0.5943713967192228,0.8646442347890545,0.30091577358178045,0.7560573572768695
LogReg (unpenalised + RFECV),0.6215610665111819,0.2631578947368421,0.47619047619047616,0.3389830508474576,0.6764212292846654,0.7433396265995384,0.339976350892672,0.1604861979071955,0.5498488878607733,0.17771929824561405,0.4912424503882657,0.5927799344375432,0.8670833356135024,0.2630754444352165,0.7453966764942375
LogReg L2,0.6781809744537782,0.32,0.38095238095238093,0.34782608695652173,0.6530312565554857,0.7538284036081393,0.32242989780855724,0.15205587919317423,0.5246969503323822,0.16205547652916075,0.5098247809762202,0.6179775167744426,0.8657832909753658,0.30857327063076884,0.7665103189493434
LogReg L1,0.6258688554530484,0.27586206896551724,0.38095238095238093,0.32,0.6442206838682609,0.7674638137193204,0.3170762744963413,0.15131098722881586,0.515276885017145,0.14625435540069687,0.4727734976887519,0.6409962639219957,0.8745032905946479,0.30129829453380125,0.7714285714285715
XGBoost,0.4805527627468109,0.28125,0.42857142857142855,0.33962264150943394,0.6636249213341724,0.7836165303125656,0.41081026775780366,0.2038093661200936,0.6361863701428374,0.1631310418904404,0.5084899845916795,0.6725454516305805,0.8783083345327591,0.33807376828747837,0.8077325113910481
XGBoost + feature eng.,0.670563817024231,0.3684210526315789,0.3333333333333333,0.35,0.6402349486049926,0.7909586742185861,0.4149754227789868,0.20441955925000385,0.6250905796909179,0.1481029810298103,0.5405405405405406,0.6837109660389676,0.8793330403709411,0.345335145418114,0.801219512195122
XGBoost (grid search),0.695734441280365,0.6,0.2857142857142857,0.3870967741935484,0.6340465701699182,0.7649465072372561,0.39984096448324447,0.1976320510500764,0.6263771558385747,0.14801587301587302,0.6,0.6357367286751361,0.869957922763748,0.3774347375492638,0.8059233449477352
XGBoost + SMOTE-NC,0.38261908292770386,0.2647058823529412,0.42857142857142855,0.32727272727272727,0.6592196349905601,0.7206838682609608,0.4117392365030029,0.20653224445510937,0.624703636917768,0.16,0.4800689655172413,0.577013405719158,0.8418118314579583,0.35780170281851914,0.7831680514607344
Decision tree,0.7861771058315333,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.6226138032305433,0.6851269142018042,0.17961999112447077,0.0922304710058103,0.34762364065296286,0.10810810810810811,0.45454545454545453,0.5627931270185502,0.8034978742878188,0.3031964448225816,0.7576722058429375
Random forest,0.4666666666666667,0.4,0.2857142857142857,0.3333333333333333,0.6230333543108874,0.8083700440528634,0.43699317390739933,0.23081788459733688,0.6420090860425007,0.11764705882352941,0.5200434782608695,0.6901322558061669,0.9085634062867017,0.30632352286110437,0.7584896810506566
Random forest (reduced),0.53,0.3684210526315789,0.3333333333333333,0.35,0.6402349486049926,0.8201174743024963,0.39427955714706553,0.19805631114616104,0.6068786214306913,0.14277408637873754,0.5385135135135134,0.7205931897050317,0.9015521759008307,0.3701693035786235,0.7793688019297775
