Model,Threshold,Precision,Recall,F1,ROC AUC,AUPRC,OOF AUPRC
LogReg (unpenalised),0.75,0.421,0.381,"0.400 [0.19, 0.58]",0.742,"0.327 [0.16, 0.53]",0.301
LogReg (unpenalised + RFECV),0.62,0.263,0.476,"0.339 [0.18, 0.49]",0.743,"0.340 [0.16, 0.55]",0.263
LogReg L2,0.68,0.320,0.381,"0.348 [0.16, 0.51]",0.754,"0.322 [0.15, 0.52]",0.309
LogReg L1,0.63,0.276,0.381,"0.320 [0.15, 0.47]",0.767,"0.317 [0.15, 0.52]",0.301
XGBoost,0.48,0.281,0.429,"0.340 [0.16, 0.51]",0.784,"0.411 [0.20, 0.64]",0.338
XGBoost + feature eng.,0.67,0.368,0.333,"0.350 [0.15, 0.54]",0.791,"0.415 [0.20, 0.63]",0.345
XGBoost (grid search),0.70,0.600,0.286,"0.387 [0.15, 0.60]",0.765,"0.400 [0.20, 0.63]",0.377
XGBoost + SMOTE-NC,0.38,0.265,0.429,"0.327 [0.16, 0.48]",0.721,"0.412 [0.21, 0.62]",0.358
Decision tree,0.79,0.259,0.333,"0.292 [0.11, 0.45]",0.685,"0.180 [0.09, 0.35]",0.303
Random forest,0.47,0.400,0.286,"0.333 [0.12, 0.52]",0.808,"0.437 [0.23, 0.64]",0.306
Random forest (reduced),0.53,0.368,0.333,"0.350 [0.14, 0.54]",0.820,"0.394 [0.20, 0.61]",0.370
