feature,importance_mean,importance_std,n_folds,raw_feature
altitude_mean_meters,0.14665411488431832,0.07592946733786156,5,altitude_mean_meters
MacroArea_Africa,0.06472739848306336,0.018266640150869855,5,MacroArea
Processing.Method_Washed,0.04467794847770999,0.03416526522924851,5,Processing.Method
Moisture,0.033872547101509165,0.037242552136989474,5,Moisture
Processing.Method_Natural,0.028362679987914786,0.018272414837311485,5,Processing.Method
Category.Two.Defects,0.02330798455461095,0.0355194514881848,5,Category.Two.Defects
Color_Unknown,0.018567492822695663,0.021378202817691004,5,Color
Moisture_missing,0.0178688873032448,0.03691980863486286,5,Moisture_missing
Variety_Other,0.017386546869947665,0.025968757406073933,5,Variety
MacroArea_South America,0.015972684838543364,0.012674941974695458,5,MacroArea
Variety_Bourbon,0.010038592123763887,0.015708142377089108,5,Variety
Color_green,0.007717283150833575,0.03660201483167333,5,Color
Variety_Typica,0.006417246042378831,0.006898808478320789,5,Variety
MacroArea_Central/North America,0.005517445476377126,0.035149071441597436,5,MacroArea
Variety_Unknown,0.005094635531901749,0.015226376526565444,5,Variety
Processing.Method_Unknown,0.0009343808066000527,0.013570921991470112,5,Processing.Method
Variety_Yellow Bourbon,0.0007080039182722303,0.002199739044448951,5,Variety
Variety_Mundo Novo,0.00038791199326292715,0.0008751376174995212,5,Variety
Processing.Method_Honey,6.087719065326914e-06,0.0005025277603473659,5,Processing.Method
Variety_Catuai,-0.0008341660418914353,0.0009796644760568863,5,Variety
Variety_Hawaiian Kona,-0.0013155541481158983,0.003992464575569139,5,Variety
MacroArea_Mainland Asia,-0.001392206594562721,0.006085056594807448,5,MacroArea
Processing.Method_Semi-washed,-0.002172256348684455,0.002350365313636855,5,Processing.Method
Category.One.Defects,-0.004553857177362097,0.00867416550490911,5,Category.One.Defects
MacroArea_Maritime Asia/Pacific,-0.005185581990923285,0.01787281428419424,5,MacroArea
Color_blue-green,-0.009750670957843568,0.028989876144807036,5,Color
Variety_Caturra,-0.00986050336945194,0.03252680591921578,5,Variety
Variety_Rare,-0.01783803116736823,0.0299109314862363,5,Variety
