feature,gain_vanilla,weight,gain_smotenc
MacroArea_Africa,34.81067657470703,231.0,53.711326599121094
Processing.Method_Washed,19.71269989013672,315.0,3.934035062789917
Moisture_missing,13.70014476776123,230.0,5.5387468338012695
Color_green,13.187033653259277,305.0,5.0984063148498535
Variety_Typica,12.857498168945312,266.0,13.837115287780762
MacroArea_Maritime Asia/Pacific,11.251574516296387,227.0,5.810474395751953
Color_blue-green,10.183338165283203,262.0,6.115891933441162
altitude_mean_meters,9.654824256896973,2927.0,6.421646595001221
Category.Two.Defects,9.142657279968262,1206.0,9.621935844421387
MacroArea_South America,9.069290161132812,312.0,8.221467018127441
Processing.Method_Honey,8.821146011352539,2.0,0.0
Moisture,8.035506248474121,1072.0,13.675804138183594
Variety_Bourbon,7.746492385864258,238.0,7.035856246948242
Variety_Rare,7.668069839477539,245.0,7.949597358703613
Category.One.Defects,7.104234218597412,445.0,2.864644765853882
Color_Unknown,6.406620502471924,247.0,10.927027702331543
Processing.Method_Natural,6.265662670135498,275.0,6.8161845207214355
Processing.Method_Semi-washed,6.2631516456604,93.0,4.594038486480713
MacroArea_Mainland Asia,5.9671950340271,150.0,5.21777868270874
Variety_Caturra,5.437393665313721,100.0,10.668526649475098
Variety_Unknown,5.319241046905518,156.0,9.44840145111084
Variety_Yellow Bourbon,4.932070732116699,101.0,0.0
MacroArea_Central/North America,4.750207901000977,222.0,3.6144206523895264
Processing.Method_Unknown,4.530503273010254,147.0,2.852147102355957
Variety_Catuai,4.502784252166748,104.0,4.050549030303955
Variety_Other,3.7630653381347656,140.0,2.901841163635254
Variety_Hawaiian Kona,3.4170424938201904,51.0,1.5255509614944458
Variety_SL28,0.0,0.0,4.540383815765381
Variety_SL14,0.0,0.0,2.5491905212402344
